match_date,home_team,away_team,home_score,away_score,tournament,city,country,neutral_bool,tournament_weight,home_goals_scored_avg,away_goals_scored_avg,home_goals_conceded_avg,away_goals_conceded_avg,home_form_avg,away_form_avg,home_elo_before,away_elo_before
2022-09-27,Sweden,Slovenia,1.0,1.0,UEFA Nations League,Stockholm,Sweden,False,1.5,1.2,1.0,2.0,1.8,0.6,1.0,1523.7152253415377,1514.2066051648167
2022-09-27,Kosovo,Cyprus,5.0,1.0,UEFA Nations League,Pristina,Kosovo,False,1.5,1.2,0.6,1.4,1.4,1.2,1.0,1441.5319797468057,1387.6994258772122
2022-09-27,Greece,Northern Ireland,3.0,1.0,UEFA Nations League,Athens,Greece,False,1.5,1.4,1.2,0.2,1.4,2.4,1.0,1551.232121054272,1422.5646756428487
2022-09-30,Fiji,Solomon Islands,1.0,0.0,MSG Prime Minister's Cup,Luganville,Vanuatu,True,1.0,0.8,1.8,1.8,2.0,0.8,2.0,1512.148740116902,1539.4613610955919
2022-11-05,Brunei,Timor-Leste,6.0,2.0,AFF Championship qualification,Bandar Seri Begawan,Brunei,False,1.0,1.2,0.2,1.8,3.6,1.2,0.0,1500.6583533105322,1381.28178784815
2022-11-08,Brunei,Timor-Leste,0.0,1.0,AFF Championship qualification,Bandar Seri Begawan,Brunei,False,1.0,2.0,0.4,1.6,3.8,1.8,0.0,1509.7610831858829,1372.1790579727995
2022-11-16,Lithuania,Iceland,0.0,0.0,Baltic Cup,Kaunas,Lithuania,False,1.0,0.4,1.4,2.4,1.8,0.2,0.8,1286.1585031416307,1431.6810765550933
2022-11-16,Latvia,Estonia,1.0,1.0,Baltic Cup,Riga,Latvia,False,1.0,1.8,2.0,1.0,0.8,2.0,2.4,1418.4499635559341,1416.8190834941581
2022-11-19,Estonia,Lithuania,2.0,0.0,Baltic Cup,Tallinn,Estonia,False,1.0,2.2,0.4,0.6,1.2,2.6,0.4,1416.8829221073013,1291.5435480287097
2022-11-19,Latvia,Iceland,1.0,1.0,Baltic Cup,Riga,Latvia,False,1.0,1.8,1.2,1.2,1.2,1.6,1.0,1418.386124942791,1426.2960316680144
2022-11-20,Qatar,Ecuador,0.0,2.0,FIFA World Cup,Al Khor,Qatar,False,4.0,2.2,0.8,0.6,1.2,2.0,0.8,1656.3068369623577,1503.5245306398087
2022-11-21,Senegal,Netherlands,0.0,2.0,FIFA World Cup,Doha,Qatar,True,4.0,1.8,2.0,1.4,1.0,1.6,2.6,1643.8359431371152,1716.7528859583447
2022-11-21,England,Iran,6.0,2.0,FIFA World Cup,Al Rayyan,Qatar,True,4.0,0.8,1.4,1.8,0.4,0.6,2.4,1636.3631550641733,1655.7687385563713
2022-11-21,United States,Wales,1.0,1.0,FIFA World Cup,Al Rayyan,Qatar,True,4.0,2.2,1.0,1.2,1.8,1.4,0.2,1664.7567471711227,1561.1866305650487
2022-11-22,Argentina,Saudi Arabia,1.0,2.0,FIFA World Cup,Lusail,Qatar,True,4.0,2.0,0.6,0.4,0.8,2.6,1.4,1690.8786545994965,1606.9691754019973
2022-11-22,Mexico,Poland,0.0,0.0,FIFA World Cup,Doha,Qatar,True,4.0,1.4,0.8,0.2,2.2,2.2,0.8,1676.2524760224699,1574.484353506728
2022-11-22,Denmark,Tunisia,0.0,0.0,FIFA World Cup,Al Rayyan,Qatar,True,4.0,1.4,1.8,0.8,0.0,1.8,2.2,1667.7747134431447,1631.430097722448
2022-11-22,France,Australia,4.0,1.0,FIFA World Cup,Al Wakrah,Qatar,True,4.0,0.8,0.8,1.0,1.2,1.0,1.0,1672.4032610945633,1590.4652576582682
