date,home_team,away_team,team,scorer,minute,own_goal,penalty
1926-01-11,Paraguay,Uruguay,Uruguay,Héctor Castro,16.0,False,False
1926-01-11,Paraguay,Uruguay,Uruguay,Héctor Castro,23.0,False,False
1926-01-11,Paraguay,Uruguay,Uruguay,Héctor Castro,32.0,False,False
1926-01-11,Paraguay,Uruguay,Uruguay,Zoilo Saldombide,47.0,False,False
1926-01-11,Paraguay,Uruguay,Paraguay,Manuel Fleitas Solich,58.0,False,False
1926-01-11,Paraguay,Uruguay,Uruguay,Héctor Castro,72.0,False,False
1926-01-11,Paraguay,Uruguay,Uruguay,Zoilo Saldombide,82.0,False,False
1926-03-11,Chile,Paraguay,Paraguay,Luis Vargas Peña,40.0,False,False
,Argentina,Bolivia,Argentina,Segundo Luna,18.0,False,False
,Argentina,Bolivia,Argentina,Alfredo Carricaberry,20.0,False,False
,Argentina,Bolivia,Argentina,Humberto Recanatini,24.0,False,False
,Argentina,Bolivia,Argentina,Manuel Seoane,29.0,False,False
,Argentina,Bolivia,Argentina,Alfredo Carricaberry,36.0,False,False
,Argentina,Bolivia,Argentina,Segundo Luna,56.0,False,False
,Argentina,Bolivia,Argentina,Manuel Seoane,79.0,False,False
1927-01-11,Perú,Uruguay,Uruguay,Daniel Ulloa,49.0,False,False
1927-01-11,Perú,Uruguay,Uruguay,Antonio Sacco,52.0,False,False
1927-01-11,Perú,Uruguay,Uruguay,Antonio Sacco,71.0,False,False
1927-01-11,Perú,Uruguay,Uruguay,Héctor Castro,75.0,False,False
1927-06-11,Bolivia,Uruguay,Uruguay,Pedro Petrone,18.0,False,False
1927-06-11,Bolivia,Uruguay,Uruguay,Roberto Figueroa,19.0,False,False
1927-06-11,Bolivia,Uruguay,Uruguay,Juan Arremón,43.0,False,False
1927-06-11,Bolivia,Uruguay,Uruguay,Pedro Petrone,65.0,False,False
1927-06-11,Bolivia,Uruguay,Uruguay,Roberto Figueroa,67.0,False,False
1927-06-11,Bolivia,Uruguay,Uruguay,Héctor Castro,68.0,False,False
1927-06-11,Bolivia,Uruguay,Uruguay,Roberto Figueroa,69.0,False,False
1927-06-11,Bolivia,Uruguay,Uruguay,Pedro Petrone,81.0,False,False
1927-06-11,Bolivia,Uruguay,Uruguay,Héctor Scarone,86.0,False,False
,Argentina,Uruguay,Uruguay,Héctor Scarone,33.0,False,False
,Argentina,Uruguay,Argentina,Humberto Recanatini,56.0,False,False
,Argentina,Uruguay,Argentina,Segundo Luna,70.0,False,False
,Argentina,Uruguay,Uruguay,Héctor Scarone,79.0,False,False
,Argentina,Uruguay,Argentina,Adhemar Canavesi,85.0,False,False
,Perú,Argentina,Argentina,Manuel Ferreira,1.0,False,False
,Perú,Argentina,Argentina,Juan Maglio,22.0,False,False
,Perú,Argentina,Argentina,Juan Maglio,25.0,False,False
,Perú,Argentina,Argentina,Manuel Ferreira,30.0,False,False
,Perú,Argentina,Argentina,Alfredo Carricaberry,38.0,False,False
,Bélgica,Luxembourg,Bélgica,Raymond Braine,9.0,False,False
,Bélgica,Luxembourg,Bélgica,Louis Versijp,20.0,False,False
,Bélgica,Luxembourg,Bélgica,Jacques Moeschal,23.0,False,False
,Bélgica,Luxembourg,Bélgica,Jacques Moeschal,67.0,False,False
,Bélgica,Luxembourg,Bélgica,Raymond Braine,72.0,False,False
,Portugal,Chile,Portugal,Vítor Silva,38.0,False,False
,Portugal,Chile,Portugal,Pepe Soares,40.0,False,False
,Portugal,Chile,Portugal,Pepe Soares,50.0,False,False
,Portugal,Chile,Portugal,Valdemar Mota,63.0,False,False
,Egipto,Turquía,Egipto,Ali El-Hassany,20.0,False,False
,Egipto,Turquía,Egipto,Ali Mohamed Riad,27.0,False,False
,Egipto,Turquía,Egipto,Mahmoud Mokhtar El-Tetsh,46.0,False,False
,Egipto,Turquía,Egipto,Mahmoud Mokhtar El-Tetsh,50.0,False,False
,Egipto,Turquía,Egipto,Ismail El-Sayed Hooda,53.0,False,False
,Egipto,Turquía,Egipto,Mahmoud Mokhtar El-Tetsh,63.0,False,False
,Egipto,Turquía,Turquía,Bekir Refet,71.0,False,False
,Egipto,Turquía,Egipto,Gamil El-Zobeir,86.0,False,False
,Alemania,Suiza,Alemania,Richard Hofmann,17.0,False,False
